
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.642	0.08235	0.082351	0.082374	0.082476	0.082764	0.083416	0.084712	0.087087	0.091215	0.098144	
0.644	0.082325	0.082327	0.08235	0.082451	0.082739	0.083392	0.084688	0.087063	0.091191	0.098119	
0.646	0.082301	0.082303	0.082325	0.082427	0.082715	0.083368	0.084664	0.087039	0.091166	0.098095	
0.648	0.082277	0.082279	0.082301	0.082403	0.082691	0.083344	0.08464	0.087014	0.091142	0.098071	
0.65	0.082253	0.082255	0.082278	0.082379	0.082667	0.08332	0.084616	0.086991	0.091118	0.098047	
0.652	0.08223	0.082231	0.082254	0.082356	0.082644	0.083296	0.084592	0.086967	0.091095	0.098023	
0.654	0.082206	0.082208	0.082231	0.082332	0.08262	0.083273	0.084569	0.086943	0.091071	0.098	
0.656	0.082183	0.082185	0.082207	0.082309	0.082597	0.083249	0.084545	0.08692	0.091048	0.097976	
0.658	0.08216	0.082162	0.082184	0.082286	0.082574	0.083226	0.084522	0.086897	0.091024	0.097953	
0.66	0.082137	0.082139	0.082161	0.082263	0.082551	0.083203	0.084499	0.086874	0.091001	0.09793	
0.662	0.082115	0.082116	0.082139	0.08224	0.082528	0.083181	0.084477	0.086851	0.090979	0.097907	
0.664	0.082092	0.082093	0.082116	0.082218	0.082506	0.083158	0.084454	0.086828	0.090956	0.097885	
0.666	0.08207	0.082071	0.082094	0.082195	0.082484	0.083136	0.084432	0.086806	0.090933	0.097862	
0.668	0.082047	0.082049	0.082072	0.082173	0.082461	0.083113	0.084409	0.086784	0.090911	0.09784	
0.67	0.082025	0.082027	0.08205	0.082151	0.082439	0.083091	0.084387	0.086761	0.090889	0.097818	
0.672	0.082004	0.082005	0.082028	0.082129	0.082417	0.08307	0.084365	0.08674	0.090867	0.097796	
0.674	0.081982	0.081983	0.082006	0.082108	0.082396	0.083048	0.084344	0.086718	0.090845	0.097774	
0.676	0.08196	0.081962	0.081984	0.082086	0.082374	0.083026	0.084322	0.086696	0.090823	0.097752	
0.678	0.081939	0.08194	0.081963	0.082065	0.082353	0.083005	0.0843	0.086675	0.090802	0.097731	
0.68	0.081918	0.081919	0.081942	0.082043	0.082332	0.082984	0.084279	0.086653	0.09078	0.097709	
0.682	0.081897	0.081898	0.081921	0.082022	0.08231	0.082962	0.084258	0.086632	0.090759	0.097688	
0.684	0.081876	0.081877	0.0819	0.082001	0.08229	0.082942	0.084237	0.086611	0.090738	0.097667	
0.686	0.081855	0.081857	0.081879	0.081981	0.082269	0.082921	0.084216	0.08659	0.090717	0.097646	
0.688	0.081834	0.081836	0.081859	0.08196	0.082248	0.0829	0.084196	0.08657	0.090697	0.097625	
0.69	0.081814	0.081815	0.081838	0.08194	0.082228	0.08288	0.084175	0.086549	0.090676	0.097605	
0.692	0.081794	0.081795	0.081818	0.081919	0.082207	0.082859	0.084155	0.086529	0.090656	0.097584	
0.694	0.081773	0.081775	0.081798	0.081899	0.082187	0.082839	0.084134	0.086508	0.090635	0.097564	
0.696	0.081753	0.081755	0.081778	0.081879	0.082167	0.082819	0.084114	0.086488	0.090615	0.097544	
0.698	0.081734	0.081735	0.081758	0.081859	0.082147	0.082799	0.084094	0.086468	0.090595	0.097524	
0.7	0.081714	0.081715	0.081738	0.081839	0.082127	0.082779	0.084075	0.086448	0.090575	0.097504	
0.702	0.081694	0.081696	0.081718	0.08182	0.082108	0.08276	0.084055	0.086429	0.090555	0.097484	
0.704	0.081675	0.081676	0.081699	0.0818	0.082088	0.08274	0.084035	0.086409	0.090536	0.097464	
